Publisher ID,Publisher Name,Keyword ID,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Keyword Type,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
K1123,Overture - Global,4.3E+16,flight to nice,Advanced,Unassigned,Unassigned,nice,Position 1-2 Target,Unassigned,Paused,1.01,415.00,288.47,0.70,59642.00,0.01,1.71,0.00,144.24,3675.40,288.47,2.00
K1175,Google - Global,4.3E+16,flight to marseilles,Broad,Air France Global Campaign,Marseille,marseille,Position 1- 3,Unassigned,Unavailable,11.25,5.00,13.59,2.72,15.00,0.33,1.27,0.20,13.59,167.45,13.59,1.00
K1122,Overture - US,4.3E+16,casablanca,Standard,Unassigned,Unassigned,regional,Position 1-4 Bid Strategy,Unassigned,Paused,0.55,131.00,72.96,0.56,3021.00,0.04,0.98,0.01,72.96,895.05,72.96,1.00
K2615,Yahoo - US,4.3E+16,flight to paris,Advanced,Air France Branded,Air France Website,uncategorized,,Unassigned,Live,7.50,1348.00,1542.90,1.14,117521.00,0.01,1.34,0.01,192.86,18467.10,1542.90,8.00
K2966,MSN - US,4.3E+16,air france airline,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Live,0.00,67.00,138.22,2.06,500.00,0.13,1.13,0.01,138.22,1632.00,138.22,1.00
K2615,Yahoo - US,4.3E+16,paris cheap flight,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,304.00,413.57,1.36,7399.00,0.04,1.00,0.01,103.39,4598.50,413.57,4.00
K1175,Google - Global,4.3E+16,flights to nice,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,1.25,145.00,209.05,1.44,4864.00,0.03,1.67,0.01,209.05,2271.20,209.05,1.00
K1175,Google - Global,4.3E+16,paris flights,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5.00,438.00,908.62,2.07,6348.00,0.07,2.54,0.02,129.80,9387.40,908.62,7.00
K2615,Yahoo - US,4.3E+16,fly to paris,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,44.00,50.36,1.14,314.00,0.14,1.22,0.02,50.36,508.30,50.36,1.00
K1175,Google - Global,4.3E+16,flights to paris,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,5.00,1558.00,2517.87,1.62,70914.00,0.02,2.36,0.01,193.68,24140.00,2517.87,13.00
K435,Google - US,4.3E+16,paris cheap flights,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,26.00,47.79,1.84,139.00,0.19,1.68,0.04,47.79,451.35,47.79,1.00
K2966,MSN - US,4.3E+16,french airlines,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Live,0.00,20.00,21.23,1.06,328.00,0.06,1.01,0.05,21.23,198.05,21.23,1.00
K2615,Yahoo - US,4.3E+16,international air fare,Advanced,Geo Targeted Atlanta,International Atlanta,uncategorized,,Unassigned,Paused,6.25,6.00,18.66,3.11,355.00,0.02,3.60,0.17,18.66,170.00,18.66,1.00
K1122,Overture - US,4.3E+16,air france airline,Standard,Unassigned,Unassigned,airfrance,Position 1-4 Bid Strategy,Unassigned,Paused,0.51,1280.00,663.01,0.52,21407.00,0.06,1.30,0.01,94.72,5928.75,663.01,7.00
K1175,Google - Global,4.3E+16,france airline,Broad,Air France Global Campaign,France,france,Position 1- 3,Unassigned,Unavailable,3.75,292.00,643.09,2.20,14347.00,0.02,1.74,0.01,160.77,5525.00,643.09,4.00
K1175,Google - Global,4.3E+16,paris cheap tickets,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,5.00,207.00,463.19,2.24,10175.00,0.02,3.27,0.01,154.40,3958.45,463.19,3.00
K1122,Overture - US,4.3E+16,cheap ticket to europe,Advanced,Unassigned,Unassigned,europe,Position 1-4 Bid Strategy,Unassigned,Paused,0.95,542.00,514.27,0.95,15797.00,0.03,2.21,0.00,257.14,4380.90,514.27,2.00
K1175,Google - Global,4.3E+16,nice flights,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,2.50,65.00,87.43,1.35,4480.00,0.01,1.48,0.02,87.43,742.05,87.43,1.00
K1175,Google - Global,4.3E+16,travel to nice,Broad,Air France Global Campaign,Nice,nice,Position 1- 3,Unassigned,Unavailable,8.75,43.00,127.21,2.96,2374.00,0.02,1.44,0.02,127.21,1060.80,127.21,1.00
K2615,Yahoo - US,4.3E+16,airfrance tickets,Advanced,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,6.25,74.00,83.00,1.12,1669.00,0.04,1.72,0.01,83.00,676.60,83.00,1.00
K435,Google - US,4.3E+16,france air tickets,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Live,6.25,36.00,55.14,1.53,296.00,0.12,1.11,0.03,55.14,442.85,55.14,1.00
K1123,Overture - Global,4.3E+16,charles de gaulle airport,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Unassigned,Paused,0.26,104.00,23.49,0.23,22722.00,0.00,1.85,0.01,23.49,187.00,23.49,1.00
K1122,Overture - US,4.3E+16,airline ticket to italy,Advanced,Unassigned,Unassigned,italy,Position 1-4 Bid Strategy,Unassigned,Paused,1.00,142.00,130.62,0.92,5875.00,0.02,2.01,0.01,130.62,1025.10,130.62,1.00
K435,Google - US,4.3E+16,paris fares,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Unassigned,Paused,5.00,9.00,30.54,3.39,123.00,0.07,1.62,0.11,30.54,236.30,30.54,1.00
K1175,Google - Global,4.3E+16,paris tickets,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,2.50,237.00,462.45,1.95,23540.00,0.01,1.79,0.02,92.49,3512.20,462.45,5.00
K435,Google - US,4.3E+16,nice fares,Broad,French Destinations,Nice,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,10.00,22.00,55.94,2.54,126.00,0.17,1.10,0.05,55.94,416.50,55.94,1.00
K1123,Overture - Global,4.3E+16,flight to paris,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,1.25,5393.00,4545.64,0.84,200030.00,0.03,1.48,0.00,189.40,33199.30,4545.64,24.00
K1122,Overture - US,4.3E+16,paris airport,Standard,Unassigned,Unassigned,paris,Position 1-4 Bid Strategy,Unassigned,Paused,0.36,79.00,28.50,0.36,6323.00,0.01,2.77,0.01,28.50,207.40,28.50,1.00
K2615,Yahoo - US,4.3E+16,paris cheap ticket,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,101.00,142.60,1.41,748.00,0.14,1.00,0.01,142.60,1016.60,142.60,1.00
K1123,Overture - Global,4.3E+16,flight to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Unassigned,Sent,0.81,294.00,304.42,1.04,23579.00,0.01,1.58,0.01,152.21,2142.00,304.42,2.00
K2003,MSN - Global,4.3E+16,travel in paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,Position 2-5 Bid Strategy,Unassigned,Deactivated,0.00,150.00,264.26,1.76,4798.00,0.03,2.95,0.01,264.26,1856.40,264.26,1.00
K435,Google - US,4.3E+16,paris cheap flights,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Postiion 1-4 Bid Strategy,Unassigned,Live,6.25,238.00,456.46,1.92,1080.00,0.22,1.25,0.03,65.21,3175.60,456.46,7.00
K435,Google - US,4.3E+16,ticket to france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Unassigned,Paused,10.00,114.00,424.15,3.72,1139.00,0.10,1.57,0.01,424.15,2910.40,424.15,1.00
K2615,Yahoo - US,4.3E+16,paris airfares,Standard,Paris & France Terms,Paris,uncategorized,,Unassigned,Live,6.25,150.00,254.55,1.70,4991.00,0.03,1.03,0.01,254.55,1733.15,254.55,1.00
K435,Google - US,4.3E+16,paris flight,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unassigned,Paused,6.25,55.00,147.50,2.68,2134.00,0.03,1.72,0.02,147.50,1000.45,147.50,1.00
K1175,Google - Global,4.3E+16,paris airfares,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unassigned,Unavailable,2.50,95.00,152.40,1.60,3288.00,0.03,2.07,0.01,152.40,1003.00,152.40,1.00
K1175,Google - Global,4.3E+16,ticket paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unassigned,Unavailable,5.00,113.00,329.97,2.92,1262.00,0.09,1.53,0.02,164.99,2148.80,329.97,2.00
K435,Google - US,4.3E+16,air france,Broad,Air France Branded,Air France Brand,uncategorized,,Unassigned,Live,27.50,29060.00,46188.44,1.59,385476.00,0.08,1.44,0.01,206.20,290609.90,46188.44,224.00
K435,Google - US,4.3E+16,air france to paris,Broad,Paris & France Terms,Paris Branded,uncategorized,Position 2-5 Bid Strategy,Unassigned,Live,10.00,247.00,371.07,1.50,1223.00,0.20,1.07,0.02,92.77,2334.10,371.07,4.00
K435,Google - US,4.3E+16,italy fares,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Unassigned,Unavailable,1.25,97.00,145.12,1.50,974.00,0.10,3.99,0.01,145.12,902.70,145.12,1.00
K1123,Overture - Global,4.3E+16,cheap paris airfare,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Unassigned,Sent,0.93,292.00,193.54,0.66,242220.00,0.00,1.33,0.00,193.54,1185.75,193.54,1.00
K435,Google - US,4.3E+16,air france deal,Broad,Air France Branded,Air France Brand,uncategorized,Position 1 -2 Target,Unassigned,Live,2.91,53.00,93.84,1.77,592.00,0.09,1.43,0.02,93.84,536.35,93.84,1.00
K435,Google - US,4.3E+16,athens airline,Broad,Google_Yearlong 2006,Google|Athens,athens,Postiion 1-4 Bid Strategy,Unassigned,Paused,6.25,76.00,149.70,1.97,2740.00,0.03,1.45,0.01,149.70,843.20,149.70,1.00
K1175,Google - Global,4.3E+16,air france ticket,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,,Unassigned,Unavailable,5.00,258.00,677.52,2.63,2250.00,0.11,1.68,0.02,169.38,3814.80,677.52,4.00
K1175,Google - Global,4.3E+16,flights to france,Broad,Air France Brand & French Destinations,France,uncategorized,,Unassigned,Paused,5.00,344.00,1029.02,2.99,3400.00,0.10,2.06,0.01,257.26,5706.90,1029.02,4.00
